pattern,replacement
세종시소방본부,세종소방본부 
하늘 도시,하늘도시 
인천타워, 인천타워 
신호듬,신호등 
골든하버,골든하버 
교통 대책,교통대책 
지하철, 지하철  
뚜껑이,뚜껑 
m버스는,m버스 
m버스를,m버스 
노선을,노선 
버스 정류장,버스정류장 
버스 노선,버스노선 
원안대로,원안 
1호선,1호선 
2호선,2호선 
3호선,3호선 
4호선,4호선 
5호선,5호선 
6호선,6호선 
7호선,7호선 
8호선,8호선 
9호선,9호선 
마을버스,마을버스 
검단지역에,검단지역 
청라제일풍경채,제일풍경채 
경자청,경제자유구역청 
경제청,경제자유구역청 
경제자유구역청,경제자유구역청 
e편한세상,이편한세상 
송도에,송도 
송도의,송도 
국제업무지구의,국제업무지구 
국제업무지구에,국제업무지구 
11공구는,11공구 
11공구에,11공구 
유치를,유치 
유치에,유치 
유치와,유치 
시의,시 
도시공사를,도시공사 
영종도와,영종도 
공사를,공사 
버스노선과,버스노선 
영흥도에,영흥도 
영종지구를,영종지구 
다리로,다리 
관리주체에,관리주체 
불친절에,불친절 
건축공사로,건축공사 
서류접수에,서류접수 
방지시설의,방지시설 
물이,물 
도로에,도로 
도로가,도로 
차량이,차량 
차량을,차량 
차를,차 
전화가,전화 
이사를,이사 
이사로,이사 
수도가,수도 
주차를,주차 
속도로,속도 
본인이,본인 
계량기가,계량기 
수도요금이,수도요금 
시민이,시민 
돈을,돈 
주차장에,주차장 
연락을,연락 
담당자가,담당자 
소리가,소리 
냄새가,냄새 
인도에,인도 
주차된,주차 
누수가,누수 
누수로,누수 
인입되었으나,인입 
안내받은,안내 
번호가,번호 
문자가,문자 
전화하니,전화 
요금을,요금 
접수를,접수 
통화를,통화 
통화가,통화 
남동구에,남동구 
서구에,서구 
입금이,입금 
차에,차 
문자를,문자 
경찰서에,경찰서 
연락처가,연락처 
쓰레기를,쓰레기 
병원에,병원 
남동구청에,남동구청 
안내를,안내 
음성이,음성 
직원이,직원 
계량기를,계량기 
길을,길 
주소가,주소 
강아지가,강아지 
단속이,단속 
서구청에,서구청 
주말에,주말 
담당자와,담당자 
담당자를,담당자 
연락처를,연락처 
술을,술 
상담을,상담 
전화해도,전화 
전화했더니,전화 
전화를,전화 
택시가,택시 
주인이,주인 
서류를,서류 
당직실로,당직실 
터미널로,터미널 
버스가,버스 
버스는,버스 
번호로,번호 
시청에,시청 
터미널인지,터미널 
1터미널인지,1터미널 
1터미널로,1터미널 
2터미널인지,2터미널 
2터미널로,2터미널 
제2여객터미널로,제2여객터미널 
연락이,연락 
비행기가,비행기 
비행기를,비행기 
시간이,시간 
양이가, 고양이 
양이를, 고양이 
길고양이가,길고양이 
길고양이를,길고양이
강아지를,강아지 
개가,강아지 
개를,강아지 
유기견이,유기견 
새끼고양이가,새끼고양이 
등록을,등록 
비둘기가,비둘기 
물건을,물건 
보호중이,보호중
한마리가,한마리 
담당자에게,담당자 
통신판매업을,통신판매업 
목줄을,목줄 
구청에,구청 
일을,일 
금액이,금액 
수급비가,수급비 
수급자이고,수급자 
수급자로,수급자 
수급자가,수급자 
자녀가,자녀 
혜택을,혜택 
혜택이,혜택 
어머니가,어머니 
급여가,급여 
아이를,아이 
동주민센터에,동주민센터 
동주민센터로,동주민센터 
주민센터로,주민센터 
사항이,사항 
내용이,내용 
내용을,내용 
부서로,부서 
본인은,본인 
어린이집을,어린이집 
도움을,도움 
주거급여가,주거급여 
아버님이,아버님 
일자리를,일자리 
우편물을,우편물 
원금이,원금 
팩스로,팩스 
소득이,소득 
자격이,자격 
안내문을,안내문
엄마가,엄마 
주민센터에,주민센터 
통장에,통장 
통장을,통장 
부평구에,부평구 
이사옴,이사 
환자가,환자 
남구에,남구 
기초생활수급자이며,기초생활수급자 
기초생활수급자이고,기초생활수급자 
기초생활수급자가,기초생활수급자 
수급자는,수급자 
부서가,부서 
연수구로,연수구 
시청의,시청 
담당부서와,담당부서 
결과를,결과 
동생이,동생 
수입이,수입 
동사무소에,동사무소 
1월에,1월 
2월에,2월 
3월에,3월 
4월에,4월 
5월에,5월 
6월에,6월 
7월에,7월 
8월에,8월 
9월에,9월 
10월에,10월 
11월에,11월 
12월에,12월 
주소지는,주소지 
제도가,제도 
주소지가,주소지 
가족이,가족 
거주하,거주 
장애인이고,장애인 
환자분이,환자 
병원비가,병원비 
서울에,서울 
입원을,입원 
교육이,교육 
교육을,교육 
계급여, 생계급여 
어머님이,어머님 
배우자가,배우자 
부모님이,부모님 
분실로,분실 
무료로,무료 
양육수당이,양육수당 
양육수당을,양육수당 
남편이,남편 
결제가,결제 
미추홀구로,미추홀구 
미추홀구에,미추홀구 
급여를,급여 
어르신이,어르신 
아동수당을,아동수당 
부모가,부모 
이야기를,이야기 
기준에,기준 
시민에게,시민 
아이돌보미로,아이돌보미 
서비스가,서비스 
부평에,부평 
다리가,다리 
조건이,조건 
방문을,방문 
업무가,업무 
번호만,번호 
노숙인이,노숙인 
홈페이지에,홈페이지 
담당부서에,담당부서 
출산장려금을,출산장려금 
혜택에,혜택 
아파트에,아파트 
외국인이,외국인 
1층에,1층 
결과에,결과 
안내문이,안내문 
아빠가,아빠 
아이가,아이 
훈련을,훈련 
훈련이,훈련 
통지서를,통지서 
일정이,일정 
민방위훈련을,민방위훈련 
근무를,근무 
과태료가,과태료 
통지서가,통지서 
거주지는,거주지 
참석을,참석 
교육에,교육 
날짜가,날짜 
일정에,일정 
연수구에,연수구 
결과가,결과 
방송을,방송 
필증을,필증 
접속이,접속 
동구에,동구 
안내서를,안내서 
회사를,회사 
회사는,회사 
객정보란에,객정보란 
음식을,음식 
영업을,영업 
흡연을,흡연 
담배를,담배 
단속만,단속 
식당을,식당 
음식점을,음식점 
가게를,가게 
테이블을,테이블 
판매를,판매 
위승계, 지위승계 
위승계로, 지위승계 
벌레가,벌레 
자격증을,자격증 
세무서에,세무서 
공동명의로,공동명의 
폐업을,폐업 
카페를,카페 
미용실을,미용실 
연기가,연기 
상가에,상가 
대표자가,대표자 
위생상태가,위생상태 
보건소로,보건소 
보건소에,보건소 
식당이,식당 
식당에,식당 
유통기한이,유통기한 
보험을,보험 
위생교육은,위생교육 
보건증이,보건증 
자격증이,자격증 
음식점이,음식점 
소독을,소독 
주류를,주류 
바퀴벌레가,바퀴벌레 
가게가,가게 
대리인이,대리인 
약을,약 
검사를,검사 
천막을,천막 
신규등록시,신규등록 
경찰에,경찰 
건강진단서를,건강진단서 
송도동에,송도동 
등록된,등록 
반찬을,반찬 
상호를,상호 
계약을,계약 
폐업이,폐업 
커피숍을,커피숍 
업종을,업종 
영업이,영업 
업자등록증을,업자등록증 
머리카락이,머리카락 
업주가,업주 
식중독에,식중독 
식품을,식품 
양수인이,양수인 
1년에,1년 
의자를,의자 
운영중이며,운영중 
현장에,현장 
상호만,상호 
업종이,업종 
제품을,제품
병원이,병원 
위생교육필증이,위생교육필증 
곰팡이가,곰팡이 
흡연구역이,흡연구역 
술집이,술집 
김치를,김치 
이름을,이름 
위생과와,위생과 
객정보란, 고객정보란 
행사가,행사 
행사를,행사 
수영장이,수영장 
공연이,공연 
강좌를,강좌 
관리를,관리 
축제를,축제 
수영을,수영 
시설이,시설 
등록이,등록 
장사를,장사 
월요일에,월요일 
화요일에,화요일 
수요일에,수요일 
목요일에,목요일 
금요일에,금요일 
토요일에,토요일 
일요일에,일요일 
pc방을,pc방 
개관했,개관 
관광을,관광 
운동을,운동 
환불을,환불 
환불이,환불 
도서관이,도서관 
도서관을,도서관 
헬스장이,헬스장 
건물에,건물 
내용에,내용 
당구장을,당구장 
시민은,시민 
선학동에,선학동 
이동이,이동 
타이어가,타이어 
하차도, 지하차도 
대공원에,대공원 
파손이,파손 
대공원내,대공원 
차량에,차량 
구멍이,구멍 
예약이,예약 
톨게이트나,톨게이트 
톨게이트비,톨게이트 
톨게이트인근,톨게이트 
톨게이트전,톨게이트 
톨케이트,톨게이트 
예약사이트가,예약사이트 
에스컬레이트가,에스컬레이트 
부평톨게이트를,부평톨게이트 
계획이,계획 
부서안내로,부서안내 
아스팔트가,아스팔트 
작업을,작업 
구간이,구간 
공사가,공사 
새벽에,새벽 
아침에,아침 
점심에,점심 
저녁에,저녁 
로그인이,로그인 
방향에,방향 
도로의,도로 
도로공사로,도로공사 
포장을,포장 
1차선에,1차선 
낙하물로,낙하물 
도로는,도로 
방향의,방향 
수리를,수리 
시민안전보험이,시민안전보험 
상담사가,상담사 
위험이,위험 
주차장이,주차장 
조치를,조치 
119로,119
119를,119
119에,119
가입을,가입 
거리에,거리 
공사는,공사 
과적을,과적 
대교와,대교 
방법이,방법 
부서에,부서 
시민님,시민 
시민들,시민 
시민의,시민 
위치에,위치 
차량의,차량 
화장실이,화장실 
공문이,공문 
뉴스를,뉴스 
보상은,보상 
버섯을,버섯 
소방법에,소방 
송도쪽,송도 
소화기를,소화기 
소화전을,소화전 
앞유리가,앞유리 
압류가,압류 
씽크홀이,씽크홀 
위치는,위치 
위치가,위치 
유리가,유리 
유리는,유리 
이동할,이동 
이해가,이해 
자동차가,자동차 
작동이,작동 
자전거를,자전거 
주차장을,주차장 
공지를,공지 
공원을,공원 
도로공사가,도로공사 
도서관에,도서관 
미세먼지가,미세먼지 
번호는,번호 
범퍼가,범퍼 
보수가,보수 
분양을,분양 
분양권을,분양권 
영종도에,영종도 
머리가,머리 
동기가,동기 
용도가,용도 
자료를,자료 
상가를,상가 
기사를,기사 
토지가,토지 
청라지역에,청라지역 
매매를,매매 
시간에,시간 
영종에,영종 
영주권을,영주권 
흙을 ,
경제자유구역내,경제자유구역청 
경제구역청,경제자유구역청
경제자유구역청내,경제자유구역청 
아파트가,아파트 
원인을,원인 
소명자료를,소명자료 
신도시에,신도시 
부지가,부지 
악취로,악취 
계약서에,계약서 
화장실을,화장실 
증여계약서를,증여계약서 
통제를,통제 
서류가,서류 
청라관리과에,청라관리과 
철거를,철거 
통행에,통행 
중국인이,중국인 
분양권에,분양권 
조명이,조명 
건축물대장이,건축물대장 
예매가,예매 
조회가,조회 
세금계산서를,세금계산서 
업체로,업체 
손님을,손님 
제한이,제한 
공사장에,공사장 
연수구청이,연수구청 
시장님,시장 
시장면담,면담 
주무관과,주무관 
동별대표자들의,동별대표자들 
제2공철,제2공항철도 
제2 공항철도,제2공항철도 
불법자산이관에,불법자산이관 
개발원은,개발원 
건립을,건립 
101역사에,101역사 
장애인 전용주차구역,장애인전용주차구역 
불법 주차,불법주차 
불법 정차,불법정차 
불법정차,불법주정차 
불법주차,불법주정차 
불법광고물,불법광고 
도로파손,도로파손 
오토바이를,오토바이 
옹벽기초는,옹벽기초 
무단쓰레기,쓰레기무단투기 
쓰레기 무단투기,쓰레기무단투기 
쓰레기 방치,쓰레기무단투기 
주차공간을,주차공간 
통행이,통행 
운전자와,운전자 
수리불가판정에,수리불가판정 
체육 시설,체육시설 
저장을,저장 
개인정보가,개인정보 
노출됩,노출 
주차구역에,주차구역 
건축과에,건축과 
피해를,피해 
보행이,보행 
과반수가,과반수 
7명이,7명 
7명만,7명 
꼬맹이가,꼬맹이
도시까스,도시가스 
보수좀,보수 
교통정책과에,교통과 
동네가,동네 
담당이,담당 
불법영업에,불법영업 
상가와,상가 
설명을,설명 
불법건물,불법건축물 
업체가,업체 
업체도,업체 
오토바이가,오토바이 
인도를,인도 
인도와,인도 
차도를,차도 
차도에,차도 
출입을,출입
출퇴근를,출퇴근 
출퇴근을,출퇴근 
편리를,편리 
트럭이,트럭 
선거를,선서 
정기회의를,정기회의 
싱크홀에,싱크홀 
쓰레기는,쓰레기 
안내글을,안내글
노력을,노력 
세대에,세대 
처리에,처리 
cctv도,cctv 
cctv도 ,cctv 
cctv좀,cctv 
수거를,수거 
수거마저,수거 
수거가,수거 
냄새는,냄새 
냄새의,냄새 
논현동도,논현동 
도화지구를,도화지구 
동춘동에,동춘동 
아이의,아이 
공사소리에,공사소리 
시위가,시위 
시위소리,시위 
입주민들은,입주민 
입주민이,입주민 
입주민입,입주민 
하루를,하루 
스트레스가,스트레스 
휴식에,휴식 
휴일인,휴일 
관계자와,관계자 
증거자료가,증거자료 
행정처분을,행정처분 
방법은,방법
소득활동은,소득활동 
아르바이트가,아르바이트 
아르바이트는,아르바이트 
아르바이트를,아르바이트 
어머니는,어머니 
어머니와,어머니 
친구는,친구 
친구와,친구 
접수할,접수 
접수는,접수 
개관이,개관 
센터는,센터 
체육시설에,체육시설 
이용안내나,이용안내 
상황에,상황 
정보가,정보 
걱정이,걱정 
건강이,건강 
스트레스를,스트레스 
스트레스받습,스트레스 
시간입,시간 
주소창에,주소창 
갤러리에,갤러리 
촬영일시를,촬영일시 
횡단보도를,횡단보도 
위험을,위험 
위생가,위생 
위생과,위생 
주차대란이,주차대란 
주차장공간을,주차장공간 
철거가,철거 
공간을,공간 
가게앞을,가게 
단속을,단속 
업무를,업무 
일과가,일과 
출근길에,출근길 
아파트는,아파트 
보도 블록,보도블록 
보도 블럭,보도블록 
보도블럭,보도블록 
보도블록이지,보도블록 
점포입,점포 
청과물과,청과물 
작업자가,작업자 
현장소장이,현장소장 
꽁초를,꽁초 
운전자가,운전자 
봉투를,봉투 
버스를,버스 
버스의,버스 
버스정류장이,버스정류장 
운전자의,운전자 
운전자인것,운전자 
운행태도에,운행태도 
운행한,운행 
정류장과,정류장 
정류장인,정류장 
단속인원은,단속인원 
시간을,시간 
주차할,주차 
주정차는,주정차 
연락도,연락 
반사경이,반사경 
경찰서가,경찰서 
위반사항에,위반사항 
위반이,위반 
불법튜닝이,불법튜닝 
불법스티커를,불법스티커 
인사사고가,인사사고 
호송중,호송중 
청와대가,청와대 
청와대에,청와대 
청와대는,청와대 
공단을,공단 
공단의,공단
공단인,공단 
남구의,남구 
남동공단이였,남동공단 
장애인자리에,장애인자리 
빌라주차장앞무단주차로주차및출차통행,무단주차 
수시로,수시 
시비가,시비 
첨부사진은,첨부사진 
국민을,국민 
좌측과,좌측 
엘이디,led 
촬영된,촬영 
영상입,영상 
배드민턴장,배드민턴 
차들은,자동차 
코너에,코너 
플랜카드를,플랜카드 
불편과,불편 
빌라에,빌라 
주민이,주민 
호수에,호수 
경비한테,경비 
시비를,시비 
계비지원을,계비지원 
명품방화문이,명품방화문 
공업소와,공업소 
불안장애에,불안장애 
물상이,물상 
시성을,시설 
명품방화문이,명품방화문
임시천막형태의,임시천막형태 
환기를,환기 
건물형태를,건물형태 
남구청을,남구청 
당진고물상이,당진고물상 
당진아원이,당진자원 
망치를,망치 
불안장애가,불안장애 
소리에,소리 
수면에,수면 
시간조차,시간 
신경을,신경 
원룸거주지랑,원룸거주지 
원룸건물,원룸건물 
원룸과,원룸 
원룸에,원룸 
원룸이,원룸 
이해할,이해 
인간의,인간 
인접해,인접 
작업소가,작업소 
작업장안,작업장 
작업장을,작업장 
주거지와,주거지 
정신과에,정신과 
주말작업은,주말작업 
규제에,규제 
기준을,기준 
분진에,분진 
문을,문 
시설을,시설 
방문하,방문 
위치헤어,위치 
조립식창고라,조립식창고 
과태료를,과태료 
만원에,만원 
만원이,만원 
만월을,만월
만원을,만원 
신문고에,신문고 
주차위반을,주차위반
진환운수에,진환운수 
사항과,사항 
회사가,회사 
개관할,개관 
사랑과,사랑 
용현동에,용현동 
대지가,대지 
건축물관리대장에,건축물관리대장 
현장사진입,현장사진 
임대를,임대 
투룸이,투룸 
저장된,저장 
주차칸을,주차칸 
제거하지,제거 
초등학교옆,초등학교 
초등학교앞,초등학교 
초등학교뒤,초등학교 
중학교옆,중학교 
중학교앞,중학교 
중학교뒤,중학교 
고등학교옆,고등학교 
고등학교앞,고등학교 
고등학교뒤,고등학교 
대학교옆,대학교 
대학교앞,대학교 
대학교뒤,대학교 
영업에,영업 
방해를줍,방해 
도로와,도로 
대로로,대로 
안전을,안전 
님께, 
반사판에,반사판 
주차봉을,주차봉 
시정조취,시정조치 
종합주차였,종합주차 
주차위반을,주차위반 
위치해어,위치 
피해가,피해 
전봇대가,전봇대 
원룸을,원룸 
담당직원의,담당직원 
공무원을,공무원 
봉사단체에,봉사단체 
운영에,운영 
재개발에,재개발 
위반에,위반 
거주지역의,거주지역 
공영주차장의,공영주차장 
콜택시가,콜택시 
콜택시에,콜택시 
콜택시는,콜택시 
부평구청의,부평구청 
버스에,버스 
관광은,관광 
정류장명,정류장 
주차로,주차 
개발의,개발 
토지에,토지 
직원들에,직원 
처분에,처분 
주민센터의,주민센터 
보전을,보전 
라오스와,라오스 
상호협력을,상호협력 
거주건물의,거주건물 
시공단,시설관리공단 
시설공단,시설관리공단 
종합건설본부의,종합건설본부 
승소에,승소 
교장의,교장 
공무원에,공무원 
해지에,해지 
농구골대,농구골대 
쓰레기가,쓰레기 
청소를,청소 
무단투기로,무단투기 
투기와,투기 
공구를,공구 
목소리를,목소리 
비공유로,비공유 
부서를,부서 
부서는,부서 
공무원들,공무원 
보도에,보도 
증설을,증설 
랜드마크시티의,랜드마크시티 
한늘도시,하늘도시 
국토부와,국토부 
연수구청은,연수구청 
대응방법을,대응방법 
마을에,마을 
직원에,직원 
인상부과에,인상부과 
상수도사업본부에,상수도사업본부 
만월당을,만월당 
온라인여행상품판매에,온라인여행상품판매 
거주를,거주 
교육될,교육 
진입을,진입 
중단된,중단 
집단의,집단 
명장선정에,명장선정 
보육정책에,보육정책 
보육정책이,보육정책 
보육정책을,보육정책 
부실시공에,부실시공 
부실시공이,부실시공 
부실시공을,부실시공 
부착은,부착 
부착이,부착 
부착을,부착 
북성포구,북성포 
체납에,체납 
체납을,체납 
체납이,체납 
체납과,체납 
환원에,환원 
환원을,환원 
환원이,환원 
행정업무에,행정업무 
행정업무를,행정업무 
행정업무가,행정업무 
행정업무는,행정업무 
적색등이,적색등 
홍보관과,홍보관 
홍보관이,홍보관 
확장계획을,확장계획 
확장계획이,확장계획 
한양건설의,한양건설 
한양건설이,한양건설 
소송의,소송 
영종은,영종 
담배꽁초가,담배꽁초 
골목에,골목 
골목이,골목 
골목은,골목 
블루코어시티의,블루코어시티 
상황은,상황 
명칭을,명칭 
롯데월드타워가,롯데월드타워 
부지에,부지 
토지반환을,토지반환 
위상을,위상 
효과를,효과 
랜드마크가,랜드마크 
가치를,가치 
감리단의,감리단 
불법자산이관은,불법자산이관 
불통행정입,불통행정 
제2역의,제2역 
23토막을,23토막 
송도내부순환,송도내부순환 
트램이,트램 
자산이관된,자산이관 
창출과,창출 
송도국제도시로,송도국제도시 
논의를,논의 
증설은,증설 
인수위의,인수위 
인수위가,인수위 
인수위는,인수위 
원안개발을,원안개발 
청라소각장의,청라소각장 
개통을,개통 
집하장이,집하장 
완화를,완화 
철도의,철도 
철도가,철도 
철도는,철도 
전수조사를,전수조사 
소각장의,소각장 
금지와,금지 
경관조명을,경관조명 
원동력이,원동력 
산업통상자원부가,산업통상자원부 
송도sk뷰와,송도sk뷰 
영종역과,영종역 
관계기관의,관계기관 
대교에,대교 
개교가,개교 
행정자치부가,행정자치부 
청라국제도시를,청라국제도시 
제2공항철도의,제2공항철도 
구청은,구청 
구청이,구청 
준설을,준설 
항만공사에,항만공사 
계획에,계획 
유치해,유치 
시티를,시티 
영종국제도시내,영종국제도시 
영종하늘도시와,영종하늘도시 
영종하늘도시에,영종하늘도시 
관리기관에,관리기관 
화학물질을, 화학물질 
국가철도사업에,국가철도사업 
인하로를,인하로 
독시착공을,동시착공 
증설이,증설 
공무원의,공무원 
버스노선이,버스노선 
입구에,입구 
아이들을,아이들 
조성사업의,조성사업 
홈플러스로,홈플러스 
홈플러스가,홈플러스 
홈플러스는,홈플러스 
홈플러스에서,홈플러스 
이마트가,이마트 
이마트는,이마트 
이마트의,이마트 
이마트를,이마트 
센트럴시티에,센트럴시티 
제일건설에,제일건설 
제일건설은,제일건설 
제일건설이,제일건설 
보수를,보수 
업무지구에,업무지구 
구글이,구글 
구글과,구글 
구글에서,구글 
수돗물이,수돗물 
수돗물에서,수돗물 
열병이,열병 
열병은,열병 
기광고와,광고 
8공구에,8공구 
공약사업입,공약사업 
교통수단입,교통수단 
해양수산부에,해양수산부 
검단이,검단 
터미널역삼,터미널역 
선정을,선정 
쇼핑몰,쇼핑몰 
버스정책과에,버스정책과 
쇼핑몰입구로,쇼핑몰입구 
청라소각장은,청라소각장 
착공에,착공 
공무원이,공무원 
예산낭비인,예산낭비 
수인선과,수인선 
불편을,불편 
증설중지와,증설중지 
환경부와,환경부 
시정을,시정 
시정해,시정 
부담금에,부담금 
담당지역을,담당지역 
국제업무지역이,국제업무지역 
허허벌판인,허허벌판 
담당구역도,담당구역 
방법을,방법 
광고가,광고 
광고로,광고 
광고는,광고 
상태를,상태 
상태가,상태 
상태는,상태 
아파트를,아파트 
아파트에서,아파트 
성화를,성화 
성화가,성화 
성화는,성화 
기사에,기사 
기사는,기사 
기사가,기사 
영종을,영종 
1공구내,1공구 
2공구내,2공구 
3공구내,3공구 
4공구내,4공구 
5공구내,5공구 
6공구내,6공구 
7공구내,7공구 
8공구내,8공구 
9공구내,9공구 
집하장을,집하장 
원안사수와,원안사수 
담당자의,담당자 
횡포가,횡포 
횡포를,횡포 
횡포는,횡포 
공약은,공약 
공약이,공약 
공약을,공약 
광고에,광고 
노선은,노선 
노선이,노선 
입장을,입장 
입장이,입장 
개편이,개편 
개편을,개편 
개편과,개편 
도시와,도시 
도시가,도시 
도시는,도시 
도시를,도시 
경관을,경관 
경관이,경관 
경관과,경관 
경관은,경관 
소방에,소방 
소방을,소방 
장이,장 
장에,장 
장은,장 
업체를,업체 
프로그램을,프로그램 
프로그램이,프로그램 
프로그램은,프로그램 
기관을,기관 
기관이,기관 
기관은,기관 
기관에,기관 
방지를,방지 
방지가,방지 
